Date,Description,Amount,Category
2026-08-01,Whole Foods Groceries,145.2,Groceries
2026-08-02,Apartment Rent,1250.0,Housing
2026-08-03,Shell Gas Station,45.0,Transportation
2026-08-05,Netflix Subscription,15.99,Entertainment
2026-08-07,Trader Joe's,82.4,Groceries
2026-08-10,Electric Utility Bill,95.5,Utilities
2026-08-12,Uber Ride,28.5,Transportation
2026-08-15,Starbucks Coffee,12.75,Dining
2026-08-18,Dinner at Italian Bistro,78.0,Dining
2026-08-22,Spotify,10.99,Entertainment
2026-08-25,Water Utility,42.0,Utilities
2026-08-28,Amazon Electronics,115.0,Shopping
